figure,check,status,note,score,can_publish
fig8_ff_by_count,plotly_conventions_met,pass,plotly_white template + Arial font detected,100.0,True
fig8_ff_by_count,voice_consistent,pass,Tone reads factual; no corporate-speak terms,100.0,True
fig8_ff_by_count,title_factual,pass,Title is specific (subject + qualifier/date),100.0,True
fig8_ff_by_count,governance_tags_applied,pass,All governance tag dimensions present,100.0,True
fig8_ff_by_count,hover_fields_complete,n/a,aggregate chart — REQUIRED_HOVER sets apply to pitch/batted-ball charts only,,
fig9_velo_by_outing,color_palette_used,pass,"Brand colors used: #002D72, #E81828",100.0,True
fig9_velo_by_outing,plotly_conventions_met,pass,plotly_white template + Arial font detected,100.0,True
fig9_velo_by_outing,voice_consistent,pass,Tone reads factual; no corporate-speak terms,100.0,True
fig9_velo_by_outing,title_factual,pass,Title is specific (subject + qualifier/date),100.0,True
fig9_velo_by_outing,governance_tags_applied,pass,All governance tag dimensions present,100.0,True
fig9_velo_by_outing,hover_fields_complete,n/a,aggregate chart — REQUIRED_HOVER sets apply to pitch/batted-ball charts only,,
fig10_entry_inning,color_palette_used,pass,"Brand colors used: #002D72, #E81828",100.0,True
fig10_entry_inning,plotly_conventions_met,pass,plotly_white template + Arial font detected,100.0,True
fig10_entry_inning,voice_consistent,pass,Tone reads factual; no corporate-speak terms,100.0,True
fig10_entry_inning,title_factual,pass,Title is specific (subject + qualifier/date),100.0,True
fig10_entry_inning,governance_tags_applied,pass,All governance tag dimensions present,100.0,True
fig10_entry_inning,hover_fields_complete,n/a,aggregate chart — REQUIRED_HOVER sets apply to pitch/batted-ball charts only,,
fig11_monthly,color_palette_used,pass,"Brand colors used: #002D72, #E81828",100.0,True
fig11_monthly,plotly_conventions_met,pass,plotly_white template + Arial font detected,100.0,True
fig11_monthly,voice_consistent,pass,Tone reads factual; no corporate-speak terms,100.0,True
fig11_monthly,title_factual,pass,Title is specific (subject + qualifier/date),100.0,True
fig11_monthly,governance_tags_applied,pass,All governance tag dimensions present,100.0,True
fig11_monthly,hover_fields_complete,n/a,aggregate chart — REQUIRED_HOVER sets apply to pitch/batted-ball charts only,,
