check,recomputed,receipt,delta,result,severity,note
H3 FP_L_4-Seam_strike_rate,0.686,0.686,0.0,PASS,warning,
H3 FP_L_Curveb_strike_rate,0.0,0.0,0.0,PASS,warning,
H3 FP_L_Cutter_strike_rate,0.727,0.727,0.0,PASS,warning,
H3 FP_L_Sinker_strike_rate,0.545,0.545,0.0,PASS,warning,
H3 FP_L_Slider_strike_rate,0.6,0.6,0.0,PASS,warning,
H3 FP_R_4-Seam_strike_rate,0.706,0.706,0.0,PASS,warning,
H3 FP_R_Curveb_strike_rate,1.0,1.0,0.0,PASS,warning,
H3 FP_R_Cutter_strike_rate,0.765,0.765,0.0,PASS,warning,
H3 FP_R_Sinker_strike_rate,0.467,0.467,0.0,PASS,warning,
H3 FP_R_Slider_strike_rate,0.333,0.333,0.0,PASS,warning,
I1 ff_velo_inn1,93.56,93.56,0.0,PASS,warning,
I1 ff_velo_inn2,92.98,92.98,0.0,PASS,warning,
I1 ff_velo_inn3,92.44,92.44,0.0,PASS,warning,
I1 ff_velo_inn4,92.13,92.13,0.0,PASS,warning,
I1 ff_velo_inn5,90.96,90.96,0.0,PASS,warning,
I1 ff_velo_inn6,90.51,90.51,0.0,PASS,warning,
I2 velo_decay_monotonic,1,1,0.0,PASS,blocking,report claims monotonic decay innings 1-6
J1 srm1_A_matches_dpo_function,0.411,0.411,0.0,PASS,blocking,harness variant A must reproduce the DPO's supplied function exactly
J2 srm1_A_third_independent_path,0.411,0.411,0.0,PASS,blocking,
J3 srm1_denominator_is_PA,146,146,0.0,PASS,blocking,
J4 srm1_intent_gap_exists,1,1,0.0,PASS,blocking,asserts the intent-vs-implementation gap the ratification packet is built on
J5 srm1_status_column_present,1,1,0.0,PASS,blocking,DQ-16: provisional banner must travel with the data
K1 fig1_arsenal_exists,1,1,0.0,PASS,blocking,
K1 fig2_recency_exists,1,1,0.0,PASS,blocking,
K1 fig3_location_exists,1,1,0.0,PASS,blocking,
K1 fig4_gameplan_exists,1,1,0.0,PASS,blocking,
K2 no_failed_dq_checks,0,0,0.0,PASS,blocking,
K3 dq_blocking_all_pass,0,0,0.0,PASS,blocking,
