family,check,status,detail
C,opposing starter reached the 6th in all three looks,PASS,"[6, 6, 6]"
C,all four Holman AAA home runs were to LHB,PASS,
C,freshness manifest logs the manual carry-in,PASS,
C,DQ scorecard carries the D+2 timeliness FAIL,PASS,['PHI log max date vs session date D+2']
C,DQ scorecard flags the inferred opponent identity,PASS,
D,D-8 recorded as NEW and measured,PASS,
D,D-8 reproduces: is_start is <NA> for relievers,PASS,
D,D-8 reproduces: relievers_only returns an empty frame,PASS,
D,D-9 reproduces: nresults cannot group on `batter`,PASS,
D,D-9 recorded,PASS,
D,"O-8 exposure measured, hard_hit_rate NOT shipped for AAA",PASS,
D,D-1 exposure measured and zero groups dropped here,PASS,
D,D-7/O-13 exposure quantified for both frames,PASS,
D,no xwOBA/wOBA computed anywhere on the AAA tier,PASS,
E,deliverable present: dp_uc43_bullpen_script_report.md,PASS,
E,deliverable present: dp_uc43_bullpen_script_report.pdf,PASS,
E,deliverable present: dp_uc43_bullpen_control_room.html,PASS,
E,deliverable present: dp_uc43_kernel.py,PASS,
E,deliverable present: dp_uc43_bullpen_script.py,PASS,
E,deliverable present: dp_uc43_build_figs.py,PASS,
E,deliverable present: dp_uc43_build_pdf.py,PASS,
E,deliverable present: dp_uc43_build_dashboard.py,PASS,
E,figure present: fig1_holman_pitch_maps.png,PASS,
E,figure present: fig2_availability.png,PASS,
E,figure present: fig3_coverage.png,PASS,
E,figure present: fig4_multi_inning.png,PASS,
E,dashboard loads no external code (fonts-only allowance),PASS,[]
E,dashboard is self-contained: data inlined,PASS,
E,dashboard declares both themes at token level,PASS,
E,dashboard paints an explicit body background,PASS,
E,PDF is non-trivial,PASS,
E,receipt count,PASS,37
F,"report figure ""29.7"" recomputes",PASS,"report says 29.7, receipts say 29.7"
F,"report prose actually contains ""29.7""",PASS,
F,"report figure ""37"" recomputes",PASS,"report says 37, receipts say 37"
F,"report prose actually contains ""37""",PASS,
F,"report figure ""7.3"" recomputes",PASS,"report says 7.3, receipts say 7.3"
F,"report prose actually contains ""7.3""",PASS,
F,"report figure ""2.4"" recomputes",PASS,"report says 2.4, receipts say 2.4"
F,"report prose actually contains ""2.4""",PASS,
F,"report figure ""147"" recomputes",PASS,"report says 147, receipts say 147"
F,"report prose actually contains ""147""",PASS,
F,"report figure ""106"" recomputes",PASS,"report says 106, receipts say 106"
F,"report prose actually contains ""106""",PASS,
F,"report figure ""38.1"" recomputes",PASS,"report says 38.1, receipts say 38.1"
F,"report prose actually contains ""38.1""",PASS,
F,"report figure ""37.4"" recomputes",PASS,"report says 37.4, receipts say 37.4"
F,"report prose actually contains ""37.4""",PASS,
F,"report figure ""1 of 56"" recomputes",PASS,"report says 1 of 56, receipts say 1 of 56"
F,"report prose actually contains ""1 of 56""",PASS,
F,"report figure ""1 of 61"" recomputes",PASS,"report says 1 of 61, receipts say 1 of 61"
F,"report prose actually contains ""1 of 61""",PASS,
F,"report figure ""15 of 40"" recomputes",PASS,"report says 15 of 40, receipts say 15 of 40"
F,"report prose actually contains ""15 of 40""",PASS,
F,"report figure ""16 of 50"" recomputes",PASS,"report says 16 of 50, receipts say 16 of 50"
F,"report prose actually contains ""16 of 50""",PASS,
F,"report figure ""8 of 20"" recomputes",PASS,"report says 8 of 20, receipts say 8 of 20"
F,"report prose actually contains ""8 of 20""",PASS,
F,"§3 7-day load for Alvarado, José",PASS,61p/4 vs 61p/4
F,"§3 7-day load for Bowlan, Jonathan",PASS,62p/3 vs 62p/3
F,"§3 7-day load for McFarlane, Alex",PASS,43p/3 vs 43p/3
F,"§3 7-day load for Mayza, Tim",PASS,15p/1 vs 15p/1
F,"§2 anchor pitch count Alvarado, José",PASS,
F,"§2 anchor pitch count McFarlane, Alex",PASS,
F,"§2 anchor pitch count Bowlan, Jonathan",PASS,
F,"§2 anchor pitch count Shugart, Chase",PASS,
F,"§2 anchor pitch count Raley, Brooks",PASS,
F,§7 Holman L/FS usage+velo,PASS,44.1/87.8
F,§7 Holman L/FF usage+velo,PASS,42.6/95.0
F,§7 Holman R/FF usage+velo,PASS,45.0/94.9
F,§7 Holman R/SL usage+velo,PASS,32.5/86.3
F,§7 FPSR figures,PASS,
F,§8 splitter drift 23.4 -> 26.8 -> 39.4,PASS,"[23.4, 26.8, 39.4]"
F,§8 opponent platoon split .192 / .419,PASS,
F,§8 zero HR allowed to PHI in 70 PA,PASS,70
F,dashboard verdict quotes 38.1,PASS,
F,dashboard warning names the AAA ceiling,PASS,
F,"README figure ""29.7"" present and consistent",PASS,
F,"README figure ""37"" present and consistent",PASS,
F,"README figure ""7.3"" present and consistent",PASS,
F,"README figure ""2.4"" present and consistent",PASS,
F,"README figure ""147"" present and consistent",PASS,
F,"README figure ""106"" present and consistent",PASS,
F,"README figure ""38.1"" present and consistent",PASS,
F,"README figure ""37.4"" present and consistent",PASS,
F,report/README verification-count claim matches this run,PASS,"claims (179, 179), actual 179/179"
